#,President,From,To,Party
18,Ulysses S. Grant,"Mar 4, 1869","Mar 4, 1877",Republican
19,Rutherford Hayes,"Mar 4, 1877","Mar 4, 1881",Republican
20,James A. Garfield,"Mar 4, 1881","Sep 19, 1881",Republican
21,Chester A. Arthur,"Sep 19, 1881","Mar 4, 1885",Republican
22,Grover Cleveland,"Mar 4, 1885","Mar 4, 1889",Democratic
23,Benjamin Harrison,"Mar 4, 1889","Mar 4, 1893",Republican
24,Grover Cleveland,"Mar 4, 1893","Mar 4, 1897",Democratic
25,William McKinley,"Mar 4, 1897",1901-09-14,Republican
26,Theodore Roosevelt,1901-09-14,1909-03-04,Republican
27,William Howard Taft,1909-03-04,1913-03-04,Republican
28,Woodrow Wilson,1913-03-04,1921-03-04,Democratic
29,Warren G. Harding,1921-03-04,1923-08-02,Republican
30,Calvin Coolidge,1923-08-02,1929-03-04,Republican
31,Herbert Hoover,1929-03-04,1933-03-04,Republican
32,Franklin D. Roosevelt,1933-03-04,1945-04-12,Democratic
33,Harry S. Truman,1945-04-12,1953-01-20,Democratic
34,Dwight D. Eisenhower,1953-01-20,1961-01-20,Republican
35,John F. Kennedy,1961-01-20,1963-11-22,Democratic
36,Lyndon B. Johnson,1963-11-22,1969-01-20,Democratic
37,Richard Nixon,1969-01-20,1974-08-09,Republican
38,Gerald Ford,1974-08-09,1977-01-20,Republican
39,Jimmy Carter,1977-01-20,1981-01-20,Democratic
40,Ronald Reagan,1981-01-20,1989-01-20,Republican
41,George H. W. Bush,1989-01-20,1993-01-20,Republican
42,Bill Clinton,1993-01-20,2001-01-20,Democratic
43,George W. Bush,2001-01-20,2009-01-20,Republican
44,Barack Obama,2009-01-20,2017-01-20,Democratic
45,Donald Trump,2017-01-20,current,Republican
